Дата операции;Дата платежа;Номер карты;Статус;Сумма операции;Валюта операции;Сумма платежа;Валюта платежа;Кэшбэк;Категория;MCC;Описание;Бонусы (включая кэшбэк);Округление на инвесткопилку;Сумма операции с округлением
15.02.2023 20:37;15.02.2023;*8125;OK;-401,19;RUB;-401,19;RUB;;Супермаркеты;5411;Мираторг;0;0;401,19
15.02.2023 20:14;15.02.2023;*8125;OK;-3237;RUB;-3237;RUB;;Цветы;5992;Salon Tsvetov;0;0;3237
15.02.2023 19:19;15.02.2023;;OK;-10000;RUB;-10000;RUB;;Переводы;;Перевод между счетами;0;0;10000
15.02.2023 18:16;15.02.2023;*8125;OK;28574;RUB;28574;RUB;;Пополнения;;"Пополнение через Московский Филиал АО КБ ""Модульбанк""";0;0;28574
15.02.2023 11:11;15.02.2023;*8125;OK;-497,99;RUB;-497,99;RUB;;Супермаркеты;5411;Мираторг;0;0;497,99
14.02.2023 21:52;15.02.2023;*8125;OK;-1610;RUB;-1610;RUB;;Фастфуд;5814;Baum;0;0;1610
14.02.2023 20:59;14.02.2023;;OK;-2980;RUB;-2980;RUB;;Переводы;;Дмитрий Г.;0;0;2980
14.02.2023 11:40;14.02.2023;*8125;OK;-266,41;RUB;-266,41;RUB;;Супермаркеты;5411;Мираторг;0;0;266,41
14.02.2023 11:17;14.02.2023;*8125;OK;-2541;RUB;-2541;RUB;;Цветы;5992;Letohin;0;0;2541
13.02.2023 20:36;13.02.2023;*8125;OK;-1389;RUB;-1389;RUB;;Супермаркеты;5411;ВкусВилл;0;0;1389
13.02.2023 14:46;13.02.2023;*8125;OK;-400;RUB;-400;RUB;;Фастфуд;5814;Вкусно — и точка;0;0;400
12.02.2023 21:11;;;OK;-1816,7;RUB;-1816,7;RUB;;ЖКХ;;МОЭК (Москва);0;0;1816,7
12.02.2023 19:38;12.02.2023;*8125;OK;-1445;RUB;-1445;RUB;;Супермаркеты;5411;ВкусВилл;0;0;1445
10.02.2023 21:14;10.02.2023;*8125;OK;-2819,12;RUB;-2819,12;RUB;;Супермаркеты;5411;Мираторг;0;0;2819,12
